0000,WHICH,NONE,7
0001,THERE,NONE,7
0002,THEIR,NONE,7
0003,ABOUT,NONE,7
0004,WOULD,NONE,7
0005,THESE,NONE,7
0006,OTHER,NONE,7
0007,WORDS,NONE,7
0008,COULD,NONE,7
0009,WRITE,NONE,7
0010,FIRST,NONE,7
0011,WATER,NONE,7
0012,AFTER,NONE,7
0013,WHERE,NONE,7
0014,RIGHT,NONE,7
0015,THINK,NONE,7
0016,THREE,NONE,7
0017,YEARS,NONE,7
0018,PLACE,NONE,7
0019,SOUND,NONE,7
0020,GREAT,NONE,7
0021,AGAIN,NONE,7
0022,STILL,NONE,7
0023,EVERY,NONE,7
0024,SMALL,NONE,7
0025,FOUND,NONE,7
0026,THOSE,NONE,7
0027,NEVER,NONE,7
0028,UNDER,NONE,7
0029,MIGHT,NONE,7
0030,WHILE,NONE,7
0031,HOUSE,NONE,7
0032,WORLD,NONE,7
0033,BELOW,NONE,7
0034,ASKED,NONE,7
0035,GOING,NONE,7
0036,LARGE,NONE,7
0037,UNTIL,NONE,7
0038,ALONG,NONE,7
0039,SHALL,NONE,7
0040,BEING,NONE,7
0041,OFTEN,NONE,7
0042,EARTH,NONE,7
0043,BEGAN,NONE,7
0044,SINCE,NONE,7
0045,STUDY,NONE,7
0046,NIGHT,NONE,7
0047,LIGHT,NONE,7
0048,ABOVE,NONE,7
0049,PAPER,NONE,7
0050,PARTS,NONE,7
0051,YOUNG,NONE,7
0052,STORY,NONE,7
0053,POINT,NONE,7
0054,TIMES,NONE,7
0055,HEARD,NONE,7
0056,WHOLE,NONE,7
0057,WHITE,NONE,7
0058,GIVEN,NONE,7
0059,MEANS,NONE,7
0060,MUSIC,NONE,7
0061,MILES,NONE,7
0062,THING,NONE,7
0063,TODAY,NONE,7
0064,LATER,NONE,7
0065,USING,NONE,7
0066,MONEY,NONE,7
0067,LINES,NONE,7
0068,ORDER,NONE,7
0069,GROUP,NONE,7
0070,AMONG,NONE,7
0071,LEARN,NONE,7
0072,KNOWN,NONE,7
0073,SPACE,NONE,7
0074,TABLE,NONE,7
0075,EARLY,NONE,7
0076,TREES,NONE,7
0077,SHORT,NONE,7
0078,HANDS,NONE,7
0079,STATE,NONE,7
0080,BLACK,NONE,7
0081,SHOWN,NONE,7
0082,STOOD,NONE,7
0083,FRONT,NONE,7
0084,VOICE,NONE,7
0085,KINDS,NONE,7
0086,MAKES,NONE,7
0087,COMES,NONE,7
0088,CLOSE,NONE,7
0089,POWER,NONE,7
0090,LIVED,NONE,7
0091,VOWEL,NONE,7
0092,TAKEN,NONE,7
0093,BUILT,NONE,7
0094,HEART,NONE,7
0095,READY,NONE,7
0096,QUITE,NONE,7
0097,CLASS,NONE,7
0098,BRING,NONE,7
0099,ROUND,NONE,7
0100,HORSE,NONE,7
0101,SHOWS,NONE,7
0102,PIECE,NONE,7
0103,GREEN,NONE,7
0104,STAND,NONE,7
0105,BIRDS,NONE,7
0106,START,NONE,7
0107,RIVER,NONE,7
0108,TRIED,NONE,7
0109,LEAST,NONE,7
0110,FIELD,NONE,7
0111,WHOSE,NONE,7
0112,GIRLS,NONE,7
0113,LEAVE,NONE,7
0114,ADDED,NONE,7
0115,COLOR,NONE,7
0116,THIRD,NONE,7
0117,HOURS,NONE,7
0118,MOVED,NONE,7
0119,PLANT,NONE,7
0120,DOING,NONE,7
0121,NAMES,NONE,7
0122,FORMS,NONE,7
0123,HEAVY,NONE,7
0124,IDEAS,NONE,7
0125,CRIED,NONE,7
0126,CHECK,NONE,7
0127,FLOOR,NONE,7
0128,BEGIN,NONE,7
0129,WOMAN,NONE,7
0130,ALONE,NONE,7
0131,PLANE,NONE,7
0132,SPELL,NONE,7
0133,WATCH,NONE,7
0134,CARRY,NONE,7
0135,WROTE,NONE,7
0136,CLEAR,NONE,7
0137,NAMED,NONE,7
0138,BOOKS,NONE,7
0139,CHILD,NONE,7
0140,GLASS,NONE,7
0141,HUMAN,NONE,7
0142,TAKES,NONE,7
0143,PARTY,NONE,7
0144,BUILD,NONE,7
0145,SEEMS,NONE,7
0146,BLOOD,NONE,7
0147,SIDES,NONE,7
0148,SEVEN,NONE,7
0149,MOUTH,NONE,7
0150,SOLVE,NONE,7
0151,NORTH,NONE,7
0152,VALUE,NONE,7
0153,DEATH,NONE,7
0154,MAYBE,NONE,7
0155,HAPPY,NONE,7
0156,TELLS,NONE,7
0157,GIVES,NONE,7
0158,LOOKS,NONE,7
0159,SHAPE,NONE,7
0160,LIVES,NONE,7
0161,STEPS,NONE,7
0162,AREAS,NONE,7
0163,SENSE,NONE,7
0164,SPEAK,NONE,7
0165,FORCE,NONE,7
0166,OCEAN,NONE,7
0167,SPEED,NONE,7
0168,WOMEN,NONE,7
0169,METAL,NONE,7
0170,SOUTH,NONE,7
0171,GRASS,NONE,7
0172,SCALE,NONE,7
0173,CELLS,NONE,7
0174,LOWER,NONE,7
0175,SLEEP,NONE,7
0176,WRONG,NONE,7
0177,PAGES,NONE,7
0178,SHIPS,NONE,7
0179,NEEDS,NONE,7
0180,ROCKS,NONE,7
0181,EIGHT,NONE,7
0182,MAJOR,NONE,7
0183,LEVEL,NONE,7
0184,TOTAL,NONE,7
0185,AHEAD,NONE,7
0186,REACH,NONE,7
0187,STARS,NONE,7
0188,STORE,NONE,7
0189,SIGHT,NONE,7
0190,TERMS,NONE,7
